system:index,count,.geo
2018_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_02_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_03_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_04_01_0,5622,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_05_01_0,2478,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_06_01_0,5495,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_07_01_0,15424,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_08_01_0,48866,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_09_01_0,1499,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_10_01_0,955,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_11_01_0,221,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2018_12_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_01_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_02_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_03_01_0,581,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_04_01_0,266,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_05_01_0,17222,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_06_01_0,13485,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_07_01_0,22490,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_08_01_0,2353,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_09_01_0,2141,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_10_01_0,502,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_11_01_0,103,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2019_12_01_0,60,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2020_01_01_0,20,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2020_02_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2020_03_01_0,0,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2020_04_01_0,416,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2020_05_01_0,2414,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2020_06_01_0,2747,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2020_07_01_0,345,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
2020_08_01_0,998,"{""type"":""Polygon"",""coordinates"":[[[-141.05296726183855,66.35159981399326],[-140.87718601183855,60.21361110222473],[-125.23265476183855,48.88781831106933],[-95.08617038683856,49.0608914372367],[-86.12132663683856,47.540920008386045],[-83.22093601183856,45.91445352763567],[-81.99046726183856,44.30181706914567],[-82.51781101183856,42.384496494081056],[-79.74890143562806,42.384496494081056],[-78.78210456062806,43.35072725900264],[-74.82702643562806,45.05177296150389],[-70.52038581062806,45.36138970605141],[-69.28991706062806,47.183720437851086],[-67.88366706062806,47.18372043785108],[-67.44421393562806,45.42311083156366],[-65.86218268562806,45.11383113003792],[-51.27233893562806,48.30656376391102],[-56.721557685628056,59.238905598793885],[-60.01745612312806,63.54462459342365],[-74.78308112312806,73.52589937516179],[-141.93151862312806,72.96860679813824],[-141.05296726183855,66.35159981399326]]]}"
